Chemical,Protein
AEA,CNR1
AEA,CNR2
AEA,FAAH
AEA,MGLL
AEA,TRPV1
2-AG,MGLL
2-AG,CNR2
2-AG,CNR1
2-AG,DAGLB
2-AG,DAGLA
2-AG,GPR119
2-AG,FAAH
NADA,TRPV1
NADA,FAAH
AA,PTGS2
AA,ALOX5
OEA,GPR119
OEA,NAAA
OEA,CNR2
OEA,PPARA
OEA,TRPV1
OEA,PPARD
OEA,CNR1
PEA,NAAA
LEA,TRPV1
LEA,CNR1
NAGly,TRPV1
NAGly,FAAH
Δ9-THC,GPR18
Δ9-THC,PPARD
Δ8-THC,GPR18
Δ8-THC,PPARD
THCA,ALOX15
THCV,CNR2
THCV,TRPV1
THCV,TRPV2
THCV,TRPV4
THCV,CNR1
THCV,NAAA
THCV,GPR55
THCV,TRPV3
THCV,DAGLA
CBD,PPARG
CBD,NR1I2
CBD,CNR1
CBD,TRPV1
CBD,PTGS2
CBD,CNR2
CBD,DAGLA
CBD,NAAA
CBD,GPR55
CBDA,ALOX15
CBDV,GPR55
CBDV,CNR2
CBDV,TRPV2
CBDV,DAGLA
CBDV,TRPV1
CBDV,TRPV4
CBDV,NAAA
CBDV,TRPV3
CBDV,CNR1
CBG,PPARG
CBG,TRPV2
CBG,TRPV1
CBG,CNR2
CBG,CNR1
CBG,DAGLA
CBG,TRPV3
CBG,NAAA
CBG,TRPV4
CBGA,DAGLA
CBGA,NAAA
CBGA,CNR1
CBGA,ALOX15
CBC,TRPV3
CBC,TRPV4
CBC,CNR2
CBC,DAGLA
CBC,NAAA
CBC,TRPV2
CBC,PPARG
CBC,TRPV1
CBC,CNR1
CBN,CNR2
CBN,CNR1
CBN,TRPV1
CBN,TRPV2
CBN,NAAA
CBN,TRPV4
CBN,DAGLA
CBN,PPARG
CBN,TRPV3
"WIN55,212-2",CNR1
"WIN55,212-2",CNR2
"WIN55,212-3",CNR1
"WIN55,212-3",CNR2
"CP55,940",CNR1
"CP55,940",CNR2
HU-210,CNR2
HU-210,CNR1
HU-211,CNR1
HU-211,CNR2
JWH-018,CNR2
JWH-018,CNR1
JWH-073,CNR2
JWH-133,CNR2
JWH-133,CNR1
JWH-133,TRPV1
AM251,CNR1
AM251,TRPV1
AM251,GPR55
AM251,CNR2
SR141716A,CNR1
SR144528,CNR2
SR144528,CNR1
PGE2,PTGS2
PGD2,PPARG
PGD2,PPARA
PGA2,PTGS2
12-HETE,ALOX5
12-HETE,ALOX15
12-HETE,ALOX12
12-HETE,PTGS2
12-HETE,PPARA
15-HETE,ALOX5
LTB4,ALOX5
