Chemical,PubChem CID,IUPAC Name,SMILES,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,NumRadicalElectrons,NumValenceElectrons,Asphericity,ExactMolWt,FractionCSP3,MolFormula,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHBA,NumHBD,NumHeavyAtoms,NumRotatableBonds,NumAmideBonds,NumAtomStereoCenters,NumBridgeheadAtoms,NumUnspecifiedAtomStereoCenters,RadiusOfGyration
AEA,5281969,"(5Z,8Z,11Z,14Z)-N-(2-hydroxyethyl)icosa-5,8,11,14-tetraenamide",CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCO,1.04,1.64,2.24,0.3945442079582280,0.21958556059614300,0.21958556059614300,-0.3945442079582280,0,142,0.8559237988786240,347.282429424001,0.5909090909090910,C22H37NO2,0,0,0,0,2,2,25,18,1,0,0,0,6.576632175299390
2-AG,5282280,"1,3-dihydroxypropan-2-yl (5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoate",CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)CO,1.0,1.5555555555555600,2.111111111111110,0.45744572613383500,0.30573536673182,0.30573536673182,-0.45744572613383500,0,154,0.6681314218504980,378.277009696001,0.6086956521739130,C23H38O4,0,0,0,0,4,2,27,20,0,0,0,0,6.323626122476520
Noladin,5311103,"(2S,3S,4S,6R)-3-methoxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,1.2571428571428600,2.057142857142860,2.857142857142860,0.37479134115424900,0.25213344334664900,0.25213344334664900,-0.37479134115424900,0,176,0.24233098762906700,466.20049069200100,0.32142857142857100,C28H26N4O3,8,5,3,1,6,2,35,5,1,0,2,0,3.9605401901183600
Virodhamine,6443013,"(9Z,11E,13S)-13-hydroxyoctadeca-9,11-dienoic acid",CCCCCC(C=CC=CCCCCCCCC(=O)O)O,1.2857142857142900,2.142857142857140,2.9523809523809500,0.4812303897852170,0.30283955653219400,0.30283955653219400,-0.4812303897852170,0,122,0.6784556162874390,296.2351448840010,0.7222222222222220,C18H32O3,0,0,0,0,3,2,21,16,0,0,0,0,5.368146818440700
NADA,5311436,"[(1E,3Z,4S,6E)-4-acetyloxy-3-(acetyloxymethylidene)-7,11-dimethyldodeca-1,6,10-trien-8-ynyl] acetate",CC(=CC#CC(=CCC(C(=COC(=O)C)C=COC(=O)C)OC(=O)C)C)C,1.1111111111111100,1.8518518518518500,2.5185185185185200,0.45721900628499500,0.3069476043200270,0.3069476043200270,-0.45721900628499500,0,146,0.4240975626704390,374.1729385520010,0.38095238095238100,C21H26O6,0,0,0,0,6,0,27,13,0,0,0,0,4.630973988667720
AA,5283678,"(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(Z,2R)-6-methylhept-3-en-2-yl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol",CC(C)CC=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,1.4827586206896600,2.4482758620689700,3.206896551724140,0.39266957014162300,0.21094160432655200,0.21094160432655200,-0.39266957014162300,0,162,0.6752257477067370,398.3184805840010,0.7037037037037040,C27H42O2,3,0,3,3,2,2,29,11,0,0,0,0,5.1528665756329600
OEA,5286420,"ethyl (2E)-5-[4-(dimethylamino)phenyl]-2-[[4-(dimethylamino)phenyl]methylidene]-7-methyl-3-oxo-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(N=C2N(C1C3=CC=C(C=C3)N(C)C)C(=O)C(=CC4=CC=C(C=C4)N(C)C)S2)C,1.2,1.8571428571428600,2.4571428571428600,0.4625117551624790,0.3378419883750810,0.3378419883750810,-0.4625117551624790,0,182,0.2816788444165700,490.20386182000100,0.2962962962962960,C27H30N4O3S,4,3,1,0,8,0,35,12,0,0,0,0,4.71289165699499
PEA,10467,icosanoic acid,CCCCCCCCCCCCCCCCCCCC(=O)O,0.7272727272727270,1.0909090909090900,1.4545454545454500,0.481230389785217,0.3028395565321840,0.3028395565321840,-0.481230389785217,0,132,0.8485562285763010,312.3028305200010,0.95,C20H40O2,0,0,0,0,2,1,22,19,0,0,0,0,6.079007029662620
LEA,5283387,(Z)-octadec-9-enamide,CCCCCCCCC=CCCCCCCCC(=O)N,1.0,1.55,2.15,0.36967998303052100,0.21691256174716900,0.21691256174716900,-0.36967998303052100,0,118,0.4501576000752660,281.2718647400010,0.8333333333333330,C18H35NO,0,0,0,0,1,1,20,16,1,0,0,0,4.94569560642993
NAGly,23667530,potassium;[acetyl(phenanthren-2-yl)amino] sulfate,CC(=O)N(C1=CC2=C(C=C1)C3=CC=CC=C3C=C2)OS(=O)(=O)[O-].[K+],1.125,1.7916666666666700,2.5,1.0,1.0,0.7240752250052590,-0.7240752250052590,0,118,0.5187034321532210,369.0073251640000,0.0625,C16H12KNO5S,3,3,0,0,5,0,24,4,1,0,0,0,3.5985550566502500
