Node,Betweenness Centrality
CNR1,0.023953261927945474
TRPV1,0.023290598290598288
PPARA,0.02073190522557611
PTGS2,0.008384723574596992
GPR55,0.006139781456237153
NAPEPLD,0.0046251217137293086
CNR2,0.004492588986259873
GPR18,0.004205885534999459
DAGLB,0.0033268419344368713
NAAA,0.002531645569620253
ARRB1,0.0019203721735367302
PPARD,0.001487612247105918
ALOX5,0.0014605647517039922
FABP5,0.0010548523206751054
MGLL,0.0010548523206751054
ALOX15,0.0004868549172346641
DAGLA,0.00023260846045656175
PLCB1,0.0001622849724115547
TRPV4,0.0
NR1I2,0.0
TRPV2,0.0
GPR119,0.0
TRPV3,0.0
PPARG,0.0
PLCE1,0.0
ABHD12,0.0
FAAH,0.0
ABHD6,0.0
FABP1,0.0
FABP3,0.0
FABP7,0.0
ALOX12,0.0
HSPA1A,0.0
SLCO2B1,0.0
GNAI1,0.0
SLC22A5,0.0
GNAI2,0.0
GNAI3,0.0
GRK2,0.0
AKT1,0.0
AEA,0.0
2-AG,0.0
Noladin,0.0
Virodhamine,0.0
NADA,0.0
AA,0.0
OEA,0.0
PEA,0.0
LEA,0.0
NAGly,0.0
Δ9-THC,0.0
Δ8-THC,0.0
THCA,0.0
THCV,0.0
CBD,0.0
CBDA,0.0
CBDV,0.0
CBG,0.0
CBGA,0.0
CBC,0.0
CBN,0.0
CBL,0.0
"WIN55,212-2",0.0
"WIN55,212-3",0.0
"CP55,940",0.0
HU-210,0.0
HU-211,0.0
JWH-018,0.0
JWH-073,0.0
JWH-133,0.0
AM251,0.0
SR141716A,0.0
SR144528,0.0
PGE2,0.0
PGD2,0.0
PGA2,0.0
12-HETE,0.0
15-HETE,0.0
5-HPETE,0.0
LTB4,0.0
