Node,Closeness Centrality
GPR55,0.19296079036739736
CBD,0.18455696202531646
THCV,0.16820424801544734
CBDV,0.16820424801544734
OEA,0.1557256402708272
CBC,0.15214216163583252
CBN,0.15214216163583252
CBG,0.15214216163583252
TRPV1,0.1469020652898068
AM251,0.14027806598879433
AEA,0.12174913693901035
AKT1,0.11775095672652341
JWH-133,0.11747723739729068
LEA,0.10940325497287522
NADA,0.10384037760137309
NAGly,0.10384037760137309
NAPEPLD,0.1021097046413502
2-AG,0.09737098344693283
PPARA,0.09593604263824117
12-HETE,0.09188935771214252
GNAI1,0.0867992766726944
CBGA,0.08285385500575373
CNR1,0.0810126582278481
PGD2,0.07130801687763713
GNAI3,0.06662225183211193
CNR2,0.06408227848101265
ARRB1,0.06329113924050633
"CP55,940",0.06329113924050633
JWH-018,0.06329113924050633
"WIN55,212-3",0.06329113924050633
"WIN55,212-2",0.06329113924050633
ABHD12,0.06329113924050633
HU-210,0.06329113924050633
SR144528,0.06329113924050633
HU-211,0.06329113924050633
SR141716A,0.05396402398401066
DAGLB,0.05063291139240506
JWH-073,0.048685491723466416
Δ8-THC,0.04556962025316456
Δ9-THC,0.04556962025316456
ALOX5,0.04050632911392405
AA,0.03955696202531646
ABHD6,0.0379746835443038
PTGS2,0.0379746835443038
LTB4,0.03164556962025317
15-HETE,0.03164556962025317
PGA2,0.028933092224231464
PGE2,0.028933092224231464
NAAA,0.028481012658227847
PPARD,0.028481012658227847
GPR18,0.02531645569620253
FABP3,0.02531645569620253
PEA,0.02531645569620253
FABP5,0.02531645569620253
MGLL,0.02531645569620253
PLCE1,0.016877637130801686
CBDA,0.016877637130801686
THCA,0.016877637130801686
FABP7,0.012658227848101266
DAGLA,0.012658227848101266
PLCB1,0.012658227848101266
ALOX15,0.012658227848101266
TRPV2,0.0
GPR119,0.0
NR1I2,0.0
PPARG,0.0
TRPV4,0.0
TRPV3,0.0
Noladin,0.0
Virodhamine,0.0
FABP1,0.0
HSPA1A,0.0
FAAH,0.0
ALOX12,0.0
SLCO2B1,0.0
GRK2,0.0
GNAI2,0.0
SLC22A5,0.0
CBL,0.0
5-HPETE,0.0
