Node,Eigenvector Centrality
CBD,0.49991267648898896
THCV,0.4999126764889021
CBDV,0.4999126764889021
AM251,0.4999126764728325
GPR55,0.006004232619360172
OEA,0.005909600954016374
CBG,0.005909598530498849
CBC,0.005909598530498849
CBN,0.005909598530498849
AEA,0.00590959851451623
JWH-133,0.00590959851442937
LEA,0.0058782533366994955
NADA,0.005877956433656491
NAGly,0.005877956433656491
TRPV1,6.35858142606208e-05
GNAI1,6.298725841694661e-05
2-AG,3.164448804966554e-05
HU-211,3.164208077287902e-05
JWH-018,3.164208077287902e-05
HU-210,3.164208077287902e-05
"WIN55,212-2",3.164208077287902e-05
SR144528,3.164208077287902e-05
"CP55,940",3.164208077287902e-05
"WIN55,212-3",3.164208077287902e-05
AKT1,3.1347600989278136e-05
JWH-073,3.1345177729873806e-05
NAPEPLD,5.986364484841986e-07
CBGA,2.9691911283384813e-07
CNR2,2.969030437066557e-07
GNAI3,2.9690304335689494e-07
ARRB1,2.9690304300618863e-07
SR141716A,2.969030430052431e-07
12-HETE,2.4396742120721355e-09
ABHD12,2.423432420496105e-09
PGD2,2.4233448608323e-09
CNR1,2.407277487171356e-09
PPARA,1.6330053598934054e-11
AA,1.632900053484345e-11
DAGLB,1.6242844641394788e-11
LTB4,1.6241792522604075e-11
15-HETE,1.6241792522604075e-11
PEA,1.6069127193543464e-11
Δ8-THC,1.737165038271054e-13
Δ9-THC,1.737165038271054e-13
ALOX5,8.755966507853228e-14
ABHD6,8.720990411487134e-14
PGA2,8.72080135150678e-14
PGE2,8.72080135150678e-14
NAAA,8.685919785130859e-14
PPARD,7.014138028337955e-16
PTGS2,3.525981390746548e-16
MGLL,3.5165283917286814e-16
PLCE1,3.507075392710819e-16
THCA,3.507075392710819e-16
CBDA,3.507075392710819e-16
GPR18,1.89187551194206e-18
FABP5,1.89187551194206e-18
FABP3,1.89187551194206e-18
FABP7,9.465756101557698e-19
DAGLA,9.465756101557698e-19
PLCB1,9.465756101557698e-19
ALOX15,9.465756101557698e-19
TRPV2,1.2757083694821687e-21
GPR119,1.2757083694821687e-21
NR1I2,1.2757083694821687e-21
PPARG,1.2757083694821687e-21
TRPV4,1.2757083694821687e-21
TRPV3,1.2757083694821687e-21
Noladin,1.2757083694821687e-21
Virodhamine,1.2757083694821687e-21
FABP1,1.2757083694821687e-21
HSPA1A,1.2757083694821687e-21
FAAH,1.2757083694821687e-21
ALOX12,1.2757083694821687e-21
SLCO2B1,1.2757083694821687e-21
GRK2,1.2757083694821687e-21
GNAI2,1.2757083694821687e-21
SLC22A5,1.2757083694821687e-21
CBL,1.2757083694821687e-21
5-HPETE,1.2757083694821687e-21
