Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
CNR2,-53.80116959064328,-0.7950384778028194,-27.484608045820814,33.100991058384146
GPR55,-32.21164086687308,-0.14280638343168156,-27.484608045820814,33.100991058384146
GPR18,3.9473684210526274,0.9495781081428388,-27.484608045820814,33.100991058384146
GPR119,,,-27.484608045820814,33.100991058384146
TRPV2,,,-27.484608045820814,33.100991058384146
TRPV3,,,-27.484608045820814,33.100991058384146
TRPV4,,,-27.484608045820814,33.100991058384146
PPARD,3.947368421052629,0.9495781081428389,-27.484608045820814,33.100991058384146
PPARG,,,-27.484608045820814,33.100991058384146
NR1I2,,,-27.484608045820814,33.100991058384146
NAPEPLD,-9.797738147020445,0.5343305240499879,-27.484608045820814,33.100991058384146
PLCB1,3.9473684210526274,0.9495781081428388,-27.484608045820814,33.100991058384146
PLCE1,3.947368421052635,0.9495781081428389,-27.484608045820814,33.100991058384146
DAGLA,3.9473684210526274,0.9495781081428388,-27.484608045820814,33.100991058384146
DAGLB,3.9473684210526274,0.9495781081428388,-27.484608045820814,33.100991058384146
FAAH,,,-27.484608045820814,33.100991058384146
NAAA,3.947368421052629,0.9495781081428389,-27.484608045820814,33.100991058384146
MGLL,3.9473684210526274,0.9495781081428388,-27.484608045820814,33.100991058384146
ABHD6,3.9473684210526234,0.9495781081428387,-27.484608045820814,33.100991058384146
ABHD12,3.947368421052619,0.9495781081428386,-27.484608045820814,33.100991058384146
PTGS2,3.9473684210526234,0.9495781081428387,-27.484608045820814,33.100991058384146
ALOX5,3.9473684210526274,0.9495781081428388,-27.484608045820814,33.100991058384146
ALOX12,,,-27.484608045820814,33.100991058384146
ALOX15,3.9473684210526274,0.9495781081428388,-27.484608045820814,33.100991058384146
FABP1,,,-27.484608045820814,33.100991058384146
FABP3,3.9473684210526274,0.9495781081428388,-27.484608045820814,33.100991058384146
FABP5,3.9473684210526274,0.9495781081428388,-27.484608045820814,33.100991058384146
