Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
CNR2,-0.3837719298245653,0.7173879624890138,-17.823948393645665,24.310662257715514
GPR55,-15.542763157894749,0.09383476318202451,-17.823948393645665,24.310662257715514
GPR18,-22.039473684210527,-0.17340232223525603,-17.823948393645665,24.310662257715514
GPR119,-16.842105263157904,0.040387346098568394,-17.823948393645665,24.310662257715514
TRPV2,3.947368421052619,0.8955460194338675,-17.823948393645665,24.310662257715514
TRPV3,3.947368421052619,0.8955460194338675,-17.823948393645665,24.310662257715514
TRPV4,-13.37719298245615,0.18291379165445162,-17.823948393645665,24.310662257715514
PPARD,-13.37719298245615,0.18291379165445162,-17.823948393645665,24.310662257715514
PPARG,3.947368421052629,0.8955460194338678,-17.823948393645665,24.310662257715514
NR1I2,3.9473684210526274,0.8955460194338677,-17.823948393645665,24.310662257715514
NAPEPLD,-16.842105263157904,0.040387346098568394,-17.823948393645665,24.310662257715514
PLCB1,3.9473684210526274,0.8955460194338677,-17.823948393645665,24.310662257715514
PLCE1,3.9473684210526274,0.8955460194338677,-17.823948393645665,24.310662257715514
DAGLA,-2.549342105263155,0.628308934016587,-17.823948393645665,24.310662257715514
DAGLB,-9.04605263157895,0.36107184859930586,-17.823948393645665,24.310662257715514
FAAH,-6.994459833795026,0.445462507152131,-17.823948393645665,24.310662257715514
NAAA,-4.048582995951415,0.5666388373818299,-17.823948393645665,24.310662257715514
MGLL,-13.37719298245615,0.18291379165445162,-17.823948393645665,24.310662257715514
ABHD6,3.947368421052625,0.8955460194338677,-17.823948393645665,24.310662257715514
ABHD12,3.9473684210526234,0.8955460194338676,-17.823948393645665,24.310662257715514
PTGS2,-5.502392344497608,0.5068375315541865,-17.823948393645665,24.310662257715514
ALOX5,3.947368421052625,0.8955460194338677,-17.823948393645665,24.310662257715514
ALOX12,3.9473684210526274,0.8955460194338677,-17.823948393645665,24.310662257715514
ALOX15,3.947368421052625,0.8955460194338677,-17.823948393645665,24.310662257715514
FABP1,-48.026315789473685,-1.24235066390438,-17.823948393645665,24.310662257715514
FABP3,3.9473684210526274,0.8955460194338677,-17.823948393645665,24.310662257715514
FABP5,-22.039473684210527,-0.17340232223525603,-17.823948393645665,24.310662257715514
FABP7,3.9473684210526274,0.8955460194338677,-17.823948393645665,24.310662257715514
HSPA1A,,,-17.823948393645665,24.310662257715514
SLCO2B1,,,-17.823948393645665,24.310662257715514
