Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
CNR2,-99.96797965120474,-0.6673021981459298,35223022.44219791,52784364.42745653
GPR55,177.48143461855835,-0.6672969418656415,35223022.44219791,52784364.42745653
GPR18,41615429.81490878,0.12110418382504513,35223022.44219791,52784364.42745653
GPR119,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
TRPV2,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
TRPV3,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
TRPV4,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
PPARD,13553866.259929212,-0.4105222525137991,35223022.44219791,52784364.42745653
PPARG,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
NR1I2,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
NAPEPLD,80720.63722779906,-0.6657710514496666,35223022.44219791,52784364.42745653
PLCB1,41673489.46262794,0.12220412408858573,35223022.44219791,52784364.42745653
PLCE1,13554074.002917515,-0.4105183168220359,35223022.44219791,52784364.42745653
DAGLA,41673489.46262794,0.12220412408858573,35223022.44219791,52784364.42745653
DAGLB,1469858.491304917,-0.6394538291217126,35223022.44219791,52784364.42745653
FAAH,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
NAAA,4433096.313698482,-0.5833152764549272,35223022.44219791,52784364.42745653
MGLL,13629351.197064064,-0.40909219007099756,35223022.44219791,52784364.42745653
ABHD6,4469773.779682299,-0.5826204217118295,35223022.44219791,52784364.42745653
ABHD12,484631.6204571165,-0.6581189562201327,35223022.44219791,52784364.42745653
PTGS2,13704224.76160313,-0.4076737100845241,35223022.44219791,52784364.42745653
ALOX5,4505757.430882792,-0.58193871129264,35223022.44219791,52784364.42745653
ALOX12,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
ALOX15,41673489.46262794,0.12220412408858573,35223022.44219791,52784364.42745653
FABP1,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
FABP3,41615429.81490878,0.12110418382504513,35223022.44219791,52784364.42745653
FABP5,41615429.81490878,0.12110418382504513,35223022.44219791,52784364.42745653
FABP7,41673489.46262794,0.12220412408858573,35223022.44219791,52784364.42745653
HSPA1A,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
SLCO2B1,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
SLC22A5,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
GNAI1,-99.9817360104587,-0.667302198406544,35223022.44219791,52784364.42745653
GNAI2,127775947.030041,1.753415534917389,35223022.44219791,52784364.42745653
GNAI3,-99.98385723785238,-0.6673021984467307,35223022.44219791,52784364.42745653
ARRB1,-99.99986713775996,-0.6673021987500384,35223022.44219791,52784364.42745653
