Node,Original Degree Centrality,Perturbed Degree Centrality,Percent Change Degree Centrality,Original Betweenness Centrality,Perturbed Betweenness Centrality,Percent Change Betweenness Centrality,Original Closeness Centrality,Perturbed Closeness Centrality,Percent Change Closeness Centrality,Original Eigenvector Centrality,Perturbed Eigenvector Centrality,Percent Change Eigenvector Centrality
CNR2,0.3037974683544304,0.3026315789473684,-0.38377192982456537,0.004492588986259873,0.007850877192982456,74.75173484584425,0.06408227848101265,0.029605263157894735,-53.80116959064328,2.969030437066557e-07,9.506939017857913e-11,-99.96797965120474
GPR55,0.20253164556962025,0.17105263157894735,-15.542763157894749,0.006139781456237153,0.006271929824561403,2.15233016461859,0.19296079036739736,0.1308049535603715,-32.211640866873076,0.006004232619360172,0.016660630810036048,177.48143461855835
GPR18,0.10126582278481013,0.07894736842105263,-22.039473684210527,0.004205885534999459,0.003333333333333333,-20.745980707395507,0.02531645569620253,0.02631578947368421,3.9473684210526274,1.89187551194206e-18,7.873140177332061e-13,41615429.81490878
GPR119,0.06329113924050633,0.05263157894736842,-16.842105263157904,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.630049726155705e-15,127775947.030041
TRPV2,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.630049726155705e-15,127775947.030041
TRPV3,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.630049726155705e-15,127775947.030041
TRPV4,0.0759493670886076,0.06578947368421052,-13.37719298245615,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.630049726155705e-15,127775947.030041
PPARD,0.0759493670886076,0.06578947368421052,-13.37719298245615,0.001487612247105918,0.0010526315789473684,-29.240191387559804,0.028481012658227847,0.029605263157894735,3.947368421052629,7.014138028337955e-16,9.506939017857906e-11,13553866.259929212
PPARG,0.11392405063291139,0.11842105263157894,3.947368421052629,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.630049726155705e-15,127775947.030041
NR1I2,0.012658227848101266,0.013157894736842105,3.9473684210526274,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.630049726155705e-15,127775947.030041
NAPEPLD,0.12658227848101267,0.10526315789473684,-16.842105263157904,0.0046251217137293086,0.002105263157894737,-54.48199445983379,0.1021097046413502,0.09210526315789473,-9.797738147020443,5.986364484841986e-07,0.0004838217923427943,80720.63722779906
PLCB1,0.05063291139240506,0.05263157894736842,3.9473684210526274,0.0001622849724115547,0.00017543859649122806,8.105263157894731,0.012658227848101266,0.013157894736842105,3.9473684210526274,9.465756101557698e-19,3.94472033729681e-13,41673489.46262794
PLCE1,0.012658227848101266,0.013157894736842105,3.9473684210526274,0.0,0.0,,0.016877637130801686,0.017543859649122806,3.947368421052635,3.507075392710819e-16,4.753551011415272e-11,13554074.002917515
