Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
GPR55,90.01762114537442,1.4891908288326823,-4.338584424044228,63.360721636582156
GPR18,-83.31494330682011,-1.2464561141800163,-4.338584424044228,63.360721636582156
GPR119,,,-4.338584424044228,63.360721636582156
TRPV2,,,-4.338584424044228,63.360721636582156
TRPV3,,,-4.338584424044228,63.360721636582156
TRPV4,,,-4.338584424044228,63.360721636582156
PPARA,-46.26470285302297,-0.6617051912611446,-4.338584424044228,63.360721636582156
PPARD,-15.481339712918658,-0.17586219034539866,-4.338584424044228,63.360721636582156
PPARG,,,-4.338584424044228,63.360721636582156
NR1I2,,,-4.338584424044228,63.360721636582156
NAPEPLD,-58.27516158818098,-0.8512620401248042,-4.338584424044228,63.360721636582156
PLCB1,8.105263157894731,0.1963968727078755,-4.338584424044228,63.360721636582156
PLCE1,,,-4.338584424044228,63.360721636582156
DAGLA,126.26682986536105,2.0612993494379412,-4.338584424044228,63.360721636582156
DAGLB,-94.7265725288832,-1.426561847310973,-4.338584424044228,63.360721636582156
FAAH,,,-4.338584424044228,63.360721636582156
NAAA,69.78070175438596,1.1697986428177995,-4.338584424044228,63.360721636582156
MGLL,33.05263157894737,0.5901324201680695,-4.338584424044228,63.360721636582156
ABHD6,,,-4.338584424044228,63.360721636582156
ABHD12,,,-4.338584424044228,63.360721636582156
PTGS2,-33.741935483870975,-0.46406275528986923,-4.338584424044228,63.360721636582156
ALOX5,8.10526315789474,0.19639687270787565,-4.338584424044228,63.360721636582156
ALOX12,,,-4.338584424044228,63.360721636582156
ALOX15,8.105263157894731,0.1963968727078755,-4.338584424044228,63.360721636582156
FABP1,,,-4.338584424044228,63.360721636582156
FABP3,,,-4.338584424044228,63.360721636582156
FABP5,-22.38596491228069,-0.28483546307680574,-4.338584424044228,63.360721636582156
FABP7,,,-4.338584424044228,63.360721636582156
HSPA1A,,,-4.338584424044228,63.360721636582156
SLCO2B1,,,-4.338584424044228,63.360721636582156
SLC22A5,,,-4.338584424044228,63.360721636582156
GNAI1,,,-4.338584424044228,63.360721636582156
GNAI2,,,-4.338584424044228,63.360721636582156
GNAI3,,,-4.338584424044228,63.360721636582156
ARRB1,-54.32171979243884,-0.7888662577911074,-4.338584424044228,63.360721636582156
GRK2,,,-4.338584424044228,63.360721636582156
AKT1,,,-4.338584424044228,63.360721636582156
AEA,,,-4.338584424044228,63.360721636582156
2-AG,,,-4.338584424044228,63.360721636582156
Noladin,,,-4.338584424044228,63.360721636582156
Virodhamine,,,-4.338584424044228,63.360721636582156
NADA,,,-4.338584424044228,63.360721636582156
AA,,,-4.338584424044228,63.360721636582156
OEA,,,-4.338584424044228,63.360721636582156
PEA,,,-4.338584424044228,63.360721636582156
LEA,,,-4.338584424044228,63.360721636582156
NAGly,,,-4.338584424044228,63.360721636582156
Δ9-THC,,,-4.338584424044228,63.360721636582156
Δ8-THC,,,-4.338584424044228,63.360721636582156
THCA,,,-4.338584424044228,63.360721636582156
THCV,,,-4.338584424044228,63.360721636582156
CBD,,,-4.338584424044228,63.360721636582156
CBDA,,,-4.338584424044228,63.360721636582156
CBDV,,,-4.338584424044228,63.360721636582156
CBG,,,-4.338584424044228,63.360721636582156
CBGA,,,-4.338584424044228,63.360721636582156
CBC,,,-4.338584424044228,63.360721636582156
CBN,,,-4.338584424044228,63.360721636582156
CBL,,,-4.338584424044228,63.360721636582156
"WIN55,212-2",,,-4.338584424044228,63.360721636582156
"WIN55,212-3",,,-4.338584424044228,63.360721636582156
"CP55,940",,,-4.338584424044228,63.360721636582156
HU-210,,,-4.338584424044228,63.360721636582156
HU-211,,,-4.338584424044228,63.360721636582156
JWH-018,,,-4.338584424044228,63.360721636582156
JWH-073,,,-4.338584424044228,63.360721636582156
JWH-133,,,-4.338584424044228,63.360721636582156
AM251,,,-4.338584424044228,63.360721636582156
SR141716A,,,-4.338584424044228,63.360721636582156
SR144528,,,-4.338584424044228,63.360721636582156
PGE2,,,-4.338584424044228,63.360721636582156
PGD2,,,-4.338584424044228,63.360721636582156
PGA2,,,-4.338584424044228,63.360721636582156
12-HETE,,,-4.338584424044228,63.360721636582156
15-HETE,,,-4.338584424044228,63.360721636582156
5-HPETE,,,-4.338584424044228,63.360721636582156
LTB4,,,-4.338584424044228,63.360721636582156
