Node,Original Degree Centrality,Perturbed Degree Centrality,Percent Change Degree Centrality,Original Betweenness Centrality,Perturbed Betweenness Centrality,Percent Change Betweenness Centrality,Original Closeness Centrality,Perturbed Closeness Centrality,Percent Change Closeness Centrality,Original Eigenvector Centrality,Perturbed Eigenvector Centrality,Percent Change Eigenvector Centrality
GPR55,0.20253164556962025,0.17105263157894735,-15.542763157894749,0.006139781456237153,0.011666666666666665,90.01762114537442,0.19296079036739736,0.1547987616099071,-19.77708978328175,0.006004232619360172,0.016656669978832403,177.41546730092188
GPR18,0.10126582278481013,0.06578947368421052,-35.03289473684211,0.004205885534999459,0.0007017543859649122,-83.31494330682011,0.02531645569620253,0.02631578947368421,3.9473684210526274,1.89187551194206e-18,7.865727903933006e-13,41576250.316298716
GPR119,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.628515093981988e-15,127655650.55708301
TRPV2,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.628515093981988e-15,127655650.55708301
TRPV3,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.628515093981988e-15,127655650.55708301
TRPV4,0.0759493670886076,0.06578947368421052,-13.37719298245615,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.628515093981988e-15,127655650.55708301
PPARA,0.1518987341772152,0.14473684210526316,-4.714912280701753,0.02073190522557611,0.011140350877192982,-46.26470285302297,0.09593604263824117,0.09972299168975068,3.9473684210526288,1.6330053598934054e-11,2.424323958875352e-07,1484478.0781966324
PPARD,0.0759493670886076,0.07894736842105263,3.9473684210526225,0.001487612247105918,0.0012573099415204678,-15.481339712918658,0.028481012658227847,0.029605263157894735,3.947368421052629,7.014138028337955e-16,9.497988582631151e-11,13541105.696634628
PPARG,0.11392405063291139,0.11842105263157894,3.947368421052629,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.628515093981988e-15,127655650.55708301
NR1I2,0.012658227848101266,0.013157894736842105,3.9473684210526274,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.628515093981988e-15,127655650.55708301
NAPEPLD,0.12658227848101267,0.10526315789473684,-16.842105263157904,0.0046251217137293086,0.0019298245614035087,-58.27516158818098,0.1021097046413502,0.09210526315789473,-9.797738147020443,5.986364484841986e-07,0.0004833662918283247,80644.54755507315
PLCB1,0.05063291139240506,0.05263157894736842,3.9473684210526274,0.0001622849724115547,0.00017543859649122806,8.105263157894731,0.012658227848101266,0.013157894736842105,3.9473684210526274,9.465756101557698e-19,3.941006527436417e-13,41634255.302983984
PLCE1,0.012658227848101266,0.013157894736842105,3.9473684210526274,0.0,0.0,,0.016877637130801686,0.017543859649122806,3.947368421052635,3.507075392710819e-16,4.749075717070276e-11,13541313.244040482
DAGLA,0.20253164556962025,0.19736842105263158,-2.549342105263155,0.00023260846045656175,0.0005263157894736842,126.26682986536105,0.012658227848101266,0.013157894736842105,3.9473684210526274,9.465756101557698e-19,3.941006527436417e-13,41634255.302983984
DAGLB,0.10126582278481013,0.09210526315789473,-9.04605263157895,0.0033268419344368713,0.00017543859649122806,-94.7265725288832,0.05063291139240506,0.05263157894736842,3.9473684210526274,1.6242844641394788e-11,2.385382873377751e-07,1468474.5791710755
FAAH,0.24050632911392406,0.21052631578947367,-12.465373961218845,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.628515093981988e-15,127655650.55708301
NAAA,0.16455696202531644,0.17105263157894735,3.9473684210526243,0.002531645569620253,0.0042982456140350876,69.78070175438596,0.028481012658227847,0.029605263157894735,3.947368421052629,8.685919785130859e-14,3.8470135217570535e-09,4428922.621579616
MGLL,0.1518987341772152,0.13157894736842105,-13.37719298245615,0.0010548523206751054,0.0014035087719298245,33.05263157894737,0.02531645569620253,0.02631578947368421,3.9473684210526274,3.5165283917286814e-16,4.788322930835244e-11,13616519.567463137
ABHD6,0.08860759493670886,0.09210526315789473,3.947368421052625,0.0,0.0,,0.0379746835443038,0.039473684210526314,3.9473684210526225,8.720990411487134e-14,3.894502650412658e-09,4465565.557071232
ABHD12,0.0759493670886076,0.07894736842105263,3.9473684210526225,0.0,0.0,,0.06329113924050633,0.06578947368421052,3.947368421052619,2.423432420496105e-09,1.1736083737018542e-05,484175.2633727673
PTGS2,0.13924050632911392,0.14473684210526316,3.947368421052641,0.008384723574596992,0.005555555555555555,-33.741935483870975,0.0379746835443038,0.039473684210526314,3.9473684210526225,3.525981390746548e-16,4.8275701446002086e-11,13691322.641280811
ALOX5,0.08860759493670886,0.09210526315789473,3.947368421052625,0.0014605647517039922,0.0015789473684210526,8.10526315789474,0.04050632911392405,0.042105263157894736,3.9473684210526274,8.755966507853228e-14,3.94159930693062e-09,4501515.330980766
ALOX12,0.05063291139240506,0.05263157894736842,3.9473684210526274,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.628515093981988e-15,127655650.55708301
ALOX15,0.08860759493670886,0.09210526315789473,3.947368421052625,0.0004868549172346641,0.0005263157894736842,8.105263157894731,0.012658227848101266,0.013157894736842105,3.9473684210526274,9.465756101557698e-19,3.941006527436417e-13,41634255.302983984
FABP1,0.02531645569620253,0.02631578947368421,3.9473684210526274,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,1.628515093981988e-15,127655650.55708301
