Node,Louvain Community
CNR1,0
CNR2,0
"WIN55,212-3",0
"WIN55,212-2",0
JWH-018,0
HU-211,0
HU-210,0
"CP55,940",0
SR141716A,0
SR144528,0
JWH-073,0
GNAI1,1
GNAI2,2
GNAI3,3
ARRB1,4
GRK2,5
CBG,6
CBN,6
CBC,6
THCV,6
CBDV,6
TRPV4,6
PPARG,6
PGD2,6
AM251,6
PEA,6
GPR55,6
TRPV3,6
TRPV2,6
NAAA,6
AKT1,7
Noladin,8
Virodhamine,9
PPARD,10
GPR18,10
GPR119,10
Δ8-THC,10
OEA,10
Δ9-THC,10
CBL,11
5-HPETE,12
NAPEPLD,13
PLCB1,14
PLCE1,15
FABP7,16
NADA,17
AEA,17
TRPV1,17
FAAH,17
MGLL,17
NAGly,17
LEA,17
JWH-133,17
HSPA1A,18
SLCO2B1,19
ABHD6,20
ABHD12,21
DAGLB,22
2-AG,22
DAGLA,22
NR1I2,22
CBD,22
ALOX12,23
ALOX15,23
PPARA,23
PTGS2,23
ALOX5,23
PGE2,23
AA,23
CBGA,23
THCA,23
CBDA,23
PGA2,23
12-HETE,23
15-HETE,23
LTB4,23
SLC22A5,24
FABP1,25
FABP3,26
FABP5,27
