Node,Eigenvector Centrality
CBN,0.33073441882055243
CBC,0.33073441882055243
CBD,0.33073441882055243
THCV,0.33073441882055243
CBG,0.33073441882055243
CBDV,0.33073441882055243
OEA,0.2572845161637039
2-AG,0.2572845161637039
12-HETE,0.183834613506855
AEA,0.183834613506855
AM251,0.14710966217843074
CBGA,0.14710966217843074
JWH-133,0.11038471085000665
NADA,0.07365975952158242
NAGly,0.07365975952158242
AA,0.07365975952158242
LEA,0.07365975952158242
Δ9-THC,0.07365975952158242
"WIN55,212-2",0.07365975952158242
"WIN55,212-3",0.07365975952158242
Δ8-THC,0.07365975952158242
SR144528,0.07365975952158242
HU-211,0.07365975952158242
PGD2,0.07365975952158242
"CP55,940",0.07365975952158242
JWH-018,0.07365975952158242
HU-210,0.07365975952158242
THCA,0.03693480819315811
CBDA,0.03693480819315811
PEA,0.03693480819315811
JWH-073,0.03693480819315811
PGA2,0.03693480819315811
LTB4,0.03693480819315811
15-HETE,0.03693480819315811
SR141716A,0.03693480819315811
PGE2,0.03693480819315811
PPARG,0.00020985686473385293
PPARD,0.00020985686473385293
PPARA,0.00020985686473385293
TRPV4,0.00020985686473385293
TRPV3,0.00020985686473385293
TRPV2,0.00020985686473385293
TRPV1,0.00020985686473385293
GPR119,0.00020985686473385293
GPR18,0.00020985686473385293
GPR55,0.00020985686473385293
CNR2,0.00020985686473385293
CNR1,0.00020985686473385293
PLCE1,0.00020985686473385293
PLCB1,0.00020985686473385293
NAPEPLD,0.00020985686473385293
NR1I2,0.00020985686473385293
Noladin,0.00020985686473385293
Virodhamine,0.00020985686473385293
GRK2,0.00020985686473385293
AKT1,0.00020985686473385293
SLC22A5,0.00020985686473385293
SLCO2B1,0.00020985686473385293
GNAI1,0.00020985686473385293
GNAI2,0.00020985686473385293
GNAI3,0.00020985686473385293
ARRB1,0.00020985686473385293
FABP7,0.00020985686473385293
HSPA1A,0.00020985686473385293
PTGS2,0.00020985686473385293
ABHD12,0.00020985686473385293
ABHD6,0.00020985686473385293
MGLL,0.00020985686473385293
NAAA,0.00020985686473385293
FAAH,0.00020985686473385293
ALOX12,0.00020985686473385293
ALOX5,0.00020985686473385293
DAGLB,0.00020985686473385293
DAGLA,0.00020985686473385293
ALOX15,0.00020985686473385293
FABP1,0.00020985686473385293
FABP3,0.00020985686473385293
FABP5,0.00020985686473385293
CBL,0.00020985686473385293
5-HPETE,0.00020985686473385293
