Node,Original Degree Centrality,Perturbed Degree Centrality,Percent Change Degree Centrality,Original Betweenness Centrality,Perturbed Betweenness Centrality,Percent Change Betweenness Centrality,Original Closeness Centrality,Perturbed Closeness Centrality,Percent Change Closeness Centrality,Original Eigenvector Centrality,Perturbed Eigenvector Centrality,Percent Change Eigenvector Centrality
GPR55,0.05063291139240506,0.05263157894736842,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
GPR18,0.02531645569620253,0.02631578947368421,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
GPR119,0.02531645569620253,0.02631578947368421,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
TRPV2,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
TRPV3,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
TRPV4,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
PPARA,0.0379746835443038,0.039473684210526314,3.9473684210526225,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
PPARD,0.0379746835443038,0.039473684210526314,3.9473684210526225,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
PPARG,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
NR1I2,0.012658227848101266,0.013157894736842105,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
NAPEPLD,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
PLCB1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002557627653210011,21.874862490377662
