Node,Original Degree Centrality,Perturbed Degree Centrality,Percent Change Degree Centrality,Original Betweenness Centrality,Perturbed Betweenness Centrality,Percent Change Betweenness Centrality,Original Closeness Centrality,Perturbed Closeness Centrality,Percent Change Closeness Centrality,Original Eigenvector Centrality,Perturbed Eigenvector Centrality,Percent Change Eigenvector Centrality
CNR2,0.24050632911392406,0.24358974358974358,1.282051282051278,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
GPR55,0.05063291139240506,0.05128205128205128,1.2820512820512802,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
GPR18,0.02531645569620253,0.02564102564102564,1.2820512820512802,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
GPR119,0.02531645569620253,0.02564102564102564,1.2820512820512802,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
TRPV1,0.16455696202531644,0.16666666666666666,1.2820512820512835,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
TRPV2,0.06329113924050633,0.0641025641025641,1.2820512820512664,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
TRPV3,0.06329113924050633,0.0641025641025641,1.2820512820512664,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
TRPV4,0.06329113924050633,0.0641025641025641,1.2820512820512664,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
PPARA,0.0379746835443038,0.038461538461538464,1.2820512820512846,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
PPARD,0.0379746835443038,0.038461538461538464,1.2820512820512846,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
PPARG,0.06329113924050633,0.0641025641025641,1.2820512820512664,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
NR1I2,0.012658227848101266,0.01282051282051282,1.2820512820512802,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
NAPEPLD,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
PLCB1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
PLCE1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.0002235631624790487,6.53126013417694
