Node,Protein Chemical Only Perturbation Top 1 Degree Centrality,Protein Chemical Only Perturbation Top 3 Degree Centrality,Protein Chemical Only Perturbation Top 1 Betweenness Centrality,Protein Chemical Only Perturbation Top 3 Betweenness Centrality
12-HETE,0.8046613794454268,1.0923605651562807,0.8046613794454268,0.9395200649534863
15-HETE,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
2-AG,0.21227263384143208,0.40365688134496536,0.21227263384143208,0.2394982159367457
AA,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
AEA,-0.024682864400166725,-0.3539171708474818,-0.024682864400166725,-0.04051052366995063
AM251,-0.23201892536156468,-0.7154866048484225,-0.23201892536156468,-0.8980372887154583
CBC,0.3439145773089864,0.28887293404307945,0.3439145773089864,0.3950586268293549
CBD,0.3439145773089864,0.28887293404307945,0.3439145773089864,0.12282790776728894
CBDA,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
CBDV,0.3439145773089864,0.28887293404307945,0.3439145773089864,0.12282790776728894
CBG,0.3439145773089864,0.28887293404307945,0.3439145773089864,0.3950586268293549
CBGA,-0.23201892536156468,0.4897448418213799,-0.23201892536156468,0.32700094706383837
CBN,0.3439145773089864,0.28887293404307945,0.3439145773089864,0.3950586268293549
"CP55,940",-1.2686992301685576,-1.3181023281833235,-1.2686992301685576,-1.5105564066051065
HU-210,-1.2686992301685576,-1.3181023281833235,-1.2686992301685576,-1.5105564066051065
HU-211,-1.2686992301685576,-1.3181023281833235,-1.2686992301685576,-1.5105564066051065
JWH-018,-1.2686992301685576,-1.3181023281833235,-1.2686992301685576,-1.5105564066051065
JWH-073,0.8046613794454274,-1.3181023281833235,0.8046613794454274,-1.5105564066051065
JWH-133,-0.577579026963896,-1.3181023281833235,-0.577579026963896,-0.6938642494189089
LEA,-1.2686992301685576,-1.3181023281833235,-1.2686992301685576,-0.2855181708258099
LTB4,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
NADA,0.8046613794454274,-0.11287088151352127,0.8046613794454274,0.9395200649534866
NAGly,0.8046613794454274,-0.11287088151352127,0.8046613794454274,0.9395200649534866
OEA,0.21227263384143208,0.05930503943930763,0.21227263384143208,0.2394982159367457
PEA,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
PGA2,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
PGD2,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
PGE2,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
SR141716A,-3.3420598397825425,-1.3181023281833235,-3.3420598397825425,-1.5105564066051065
SR144528,-1.2686992301685576,-1.3181023281833235,-1.2686992301685576,-1.5105564066051065
THCA,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
THCV,0.3439145773089864,0.28887293404307945,0.3439145773089864,0.12282790776728894
"WIN55,212-2",-1.2686992301685576,-1.3181023281833235,-1.2686992301685576,-1.5105564066051065
"WIN55,212-3",-1.2686992301685576,-1.3181023281833235,-1.2686992301685576,-1.5105564066051065
Δ8-THC,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
Δ9-THC,0.8046613794454274,1.092360565156281,0.8046613794454274,0.9395200649534866
