Protein,Degree Centrality
FAAH,0.3846153846153846
CNR1,0.3333333333333333
GPR55,0.3076923076923077
NAPEPLD,0.2564102564102564
MGLL,0.2564102564102564
PPARA,0.23076923076923075
TRPV1,0.20512820512820512
DAGLA,0.20512820512820512
ABHD6,0.1794871794871795
DAGLB,0.1794871794871795
PTGS2,0.15384615384615385
ABHD12,0.15384615384615385
GPR18,0.15384615384615385
AKT1,0.1282051282051282
GNAI1,0.1282051282051282
CNR2,0.1282051282051282
GNAI2,0.10256410256410256
ARRB1,0.10256410256410256
PPARG,0.10256410256410256
PLCB1,0.10256410256410256
GNAI3,0.10256410256410256
FABP5,0.10256410256410256
NAAA,0.10256410256410256
GPR119,0.07692307692307693
ALOX12,0.07692307692307693
ALOX5,0.07692307692307693
ALOX15,0.07692307692307693
PPARD,0.07692307692307693
FABP1,0.05128205128205128
GRK2,0.05128205128205128
FABP3,0.05128205128205128
FABP7,0.02564102564102564
TRPV4,0.02564102564102564
PLCE1,0.02564102564102564
TRPV3,0.0
TRPV2,0.0
NR1I2,0.0
HSPA1A,0.0
SLCO2B1,0.0
SLC22A5,0.0
