Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
CNR2,-54.38596491228071,-1.9779030462978737,-8.954022387010706,22.96975203628253
GPR55,-6.274681440443216,0.11664648979820333,-8.954022387010706,22.96975203628253
GPR18,2.631578947368419,0.5043851285847039,-8.954022387010706,22.96975203628253
GPR119,,,-8.954022387010706,22.96975203628253
TRPV1,-8.785228377065128,0.00734853426710725,-8.954022387010706,22.96975203628253
TRPV2,,,-8.954022387010706,22.96975203628253
TRPV3,,,-8.954022387010706,22.96975203628253
TRPV4,,,-8.954022387010706,22.96975203628253
PPARA,2.631578947368411,0.5043851285847034,-8.954022387010706,22.96975203628253
PPARD,2.6315789473684097,0.5043851285847034,-8.954022387010706,22.96975203628253
PPARG,,,-8.954022387010706,22.96975203628253
NR1I2,,,-8.954022387010706,22.96975203628253
NAPEPLD,-10.939538929969553,-0.08644048659395917,-8.954022387010706,22.96975203628253
PLCB1,2.631578947368419,0.5043851285847039,-8.954022387010706,22.96975203628253
PLCE1,2.6315789473684257,0.5043851285847041,-8.954022387010706,22.96975203628253
DAGLA,2.631578947368419,0.5043851285847039,-8.954022387010706,22.96975203628253
DAGLB,2.631578947368419,0.5043851285847039,-8.954022387010706,22.96975203628253
FAAH,,,-8.954022387010706,22.96975203628253
NAAA,2.6315789473684097,0.5043851285847034,-8.954022387010706,22.96975203628253
MGLL,2.631578947368419,0.5043851285847039,-8.954022387010706,22.96975203628253
ABHD6,2.6315789473684097,0.5043851285847034,-8.954022387010706,22.96975203628253
ABHD12,2.6315789473684243,0.5043851285847041,-8.954022387010706,22.96975203628253
PTGS2,2.6315789473684097,0.5043851285847034,-8.954022387010706,22.96975203628253
ALOX5,2.631578947368419,0.5043851285847039,-8.954022387010706,22.96975203628253
ALOX12,,,-8.954022387010706,22.96975203628253
ALOX15,2.631578947368419,0.5043851285847039,-8.954022387010706,22.96975203628253
FABP1,,,-8.954022387010706,22.96975203628253
FABP3,2.631578947368419,0.5043851285847039,-8.954022387010706,22.96975203628253
FABP5,2.631578947368419,0.5043851285847039,-8.954022387010706,22.96975203628253
FABP7,2.631578947368419,0.5043851285847039,-8.954022387010706,22.96975203628253
HSPA1A,,,-8.954022387010706,22.96975203628253
SLCO2B1,,,-8.954022387010706,22.96975203628253
SLC22A5,,,-8.954022387010706,22.96975203628253
GNAI1,-33.328349282296664,-1.0611488908014677,-8.954022387010706,22.96975203628253
GNAI2,,,-8.954022387010706,22.96975203628253
GNAI3,-61.0,-2.2658484745842524,-8.954022387010706,22.96975203628253
ARRB1,-79.47368421052632,-3.0701098432462075,-8.954022387010706,22.96975203628253
GRK2,,,-8.954022387010706,22.96975203628253
AKT1,-14.39995462794917,-0.23709146848151363,-8.954022387010706,22.96975203628253
