Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
CNR2,56.82539682539682,1.3219800685952185,-22.83390792214322,60.25756865773986
GPR18,-54.761904761904766,-0.5298586974378449,-22.83390792214322,60.25756865773986
GPR119,,,-22.83390792214322,60.25756865773986
TRPV1,-100.0,-1.2806041431269244,-22.83390792214322,60.25756865773986
TRPV2,,,-22.83390792214322,60.25756865773986
TRPV3,,,-22.83390792214322,60.25756865773986
TRPV4,,,-22.83390792214322,60.25756865773986
PPARA,-18.57142857142858,0.07073765911341892,-22.83390792214322,60.25756865773986
PPARD,-21.587301587301592,0.020687962734146997,-22.83390792214322,60.25756865773986
PPARG,,,-22.83390792214322,60.25756865773986
NR1I2,,,-22.83390792214322,60.25756865773986
NAPEPLD,-11.78571428571428,0.18334947596678114,-22.83390792214322,60.25756865773986
PLCB1,17.619047619047624,0.6713340156646831,-22.83390792214322,60.25756865773986
PLCE1,,,-22.83390792214322,60.25756865773986
DAGLA,,,-22.83390792214322,60.25756865773986
DAGLB,-100.0,-1.2806041431269244,-22.83390792214322,60.25756865773986
NAAA,41.14285714285717,1.061721647423005,-22.83390792214322,60.25756865773986
MGLL,76.42857142857142,1.6473030950604866,-22.83390792214322,60.25756865773986
ABHD6,,,-22.83390792214322,60.25756865773986
ABHD12,,,-22.83390792214322,60.25756865773986
PTGS2,-9.825396825396826,0.21588177861330782,-22.83390792214322,60.25756865773986
ALOX5,,,-22.83390792214322,60.25756865773986
ALOX12,,,-22.83390792214322,60.25756865773986
ALOX15,,,-22.83390792214322,60.25756865773986
FABP1,,,-22.83390792214322,60.25756865773986
FABP3,,,-22.83390792214322,60.25756865773986
FABP5,-72.3249299719888,-0.8213245763524287,-22.83390792214322,60.25756865773986
FABP7,,,-22.83390792214322,60.25756865773986
HSPA1A,,,-22.83390792214322,60.25756865773986
SLCO2B1,,,-22.83390792214322,60.25756865773986
SLC22A5,,,-22.83390792214322,60.25756865773986
GNAI1,,,-22.83390792214322,60.25756865773986
GNAI2,,,-22.83390792214322,60.25756865773986
GNAI3,,,-22.83390792214322,60.25756865773986
ARRB1,-100.0,-1.2806041431269244,-22.83390792214322,60.25756865773986
GRK2,,,-22.83390792214322,60.25756865773986
AKT1,,,-22.83390792214322,60.25756865773986
