Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
CNR2,-71.46776406035666,-1.2239216986136754,-30.308694181377675,33.628842372514086
GPR18,-45.833333333333336,-0.4616465526819454,-30.308694181377675,33.628842372514086
GPR119,,,-30.308694181377675,33.628842372514086
TRPV1,-11.04441776710685,0.572849823400883,-30.308694181377675,33.628842372514086
TRPV2,,,-30.308694181377675,33.628842372514086
TRPV3,,,-30.308694181377675,33.628842372514086
TRPV4,,,-30.308694181377675,33.628842372514086
PPARA,1.7395152505446714,0.9529976999183403,-30.308694181377675,33.628842372514086
PPARD,-3.703703703703715,0.7911360784580279,-30.308694181377675,33.628842372514086
PPARG,,,-30.308694181377675,33.628842372514086
NR1I2,,,-30.308694181377675,33.628842372514086
NAPEPLD,-19.421487603305785,0.32374610037038765,-30.308694181377675,33.628842372514086
PLCB1,8.333333333333332,1.1490739730694493,-30.308694181377675,33.628842372514086
PLCE1,8.33333333333334,1.1490739730694497,-30.308694181377675,33.628842372514086
DAGLA,-100.0,-2.07236707843334,-30.308694181377675,33.628842372514086
DAGLB,-18.750000000000004,0.3437137101937519,-30.308694181377675,33.628842372514086
NAAA,-35.802469135802475,-0.16336497383909462,-30.308694181377675,33.628842372514086
MGLL,-45.833333333333336,-0.4616465526819454,-30.308694181377675,33.628842372514086
ABHD6,-27.777777777777786,0.075260289235186,-30.308694181377675,33.628842372514086
ABHD12,-13.33333333333333,0.5047857627688916,-30.308694181377675,33.628842372514086
PTGS2,8.333333333333321,1.149073973069449,-30.308694181377675,33.628842372514086
ALOX5,8.333333333333337,1.1490739730694495,-30.308694181377675,33.628842372514086
ALOX12,,,-30.308694181377675,33.628842372514086
ALOX15,8.333333333333332,1.1490739730694493,-30.308694181377675,33.628842372514086
FABP1,,,-30.308694181377675,33.628842372514086
FABP3,-45.833333333333336,-0.4616465526819454,-30.308694181377675,33.628842372514086
FABP5,-45.833333333333336,-0.4616465526819454,-30.308694181377675,33.628842372514086
FABP7,-100.0,-2.07236707843334,-30.308694181377675,33.628842372514086
HSPA1A,,,-30.308694181377675,33.628842372514086
SLCO2B1,,,-30.308694181377675,33.628842372514086
SLC22A5,,,-30.308694181377675,33.628842372514086
GNAI1,-36.80555555555557,-0.19319313172338,-30.308694181377675,33.628842372514086
GNAI2,,,-30.308694181377675,33.628842372514086
GNAI3,-58.83333333333333,-0.8482194788622799,-30.308694181377675,33.628842372514086
ARRB1,-78.33333333333333,-1.428078868132782,-30.308694181377675,33.628842372514086
GRK2,,,-30.308694181377675,33.628842372514086
AKT1,-12.20833333333332,0.5382391890729593,-30.308694181377675,33.628842372514086
