Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
CNR2,-99.9805794536884,-0.9842836450606319,15571506.589305772,15820243.126081826
GPR18,10745693.68056599,-0.30504037581974774,15571506.589305772,15820243.126081826
GPR119,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
TRPV1,8818.015449291364,-0.983719937160717,15571506.589305772,15820243.126081826
TRPV2,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
TRPV3,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
TRPV4,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
PPARA,134012.17930257655,-0.975806394817813,15571506.589305772,15820243.126081826
PPARD,6544147.4499149285,-0.5706207589507908,15571506.589305772,15820243.126081826
PPARG,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
NR1I2,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
NAPEPLD,12540.512353437083,-0.9834846375591573,15571506.589305772,15820243.126081826
PLCB1,21476136.227302644,0.3732325471194742,15571506.589305772,15820243.126081826
PLCE1,13027064.52724937,-0.160834573892328,15571506.589305772,15820243.126081826
DAGLA,50432.32053482978,-0.9810894905390131,15571506.589305772,15820243.126081826
DAGLB,45069.4895438192,-0.9814284759103673,15571506.589305772,15820243.126081826
NAAA,55650.60596331096,-0.9807596419148868,15571506.589305772,15820243.126081826
MGLL,61173.14187532853,-0.9804105615709247,15571506.589305772,15820243.126081826
ABHD6,55674.27016856829,-0.9807581460968345,15571506.589305772,15820243.126081826
ABHD12,34226.24560503314,-0.9821138790266387,15571506.589305772,15820243.126081826
PTGS2,13074957.465080395,-0.1578072539295856,15571506.589305772,15820243.126081826
ALOX5,7959865.9894984765,-0.481132972429385,15571506.589305772,15820243.126081826
ALOX12,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
ALOX15,21476136.227302644,0.3732325471194742,15571506.589305772,15820243.126081826
FABP1,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
FABP3,10745693.68056599,-0.30504037581974774,15571506.589305772,15820243.126081826
FABP5,10745693.68056599,-0.30504037581974774,15571506.589305772,15820243.126081826
FABP7,50432.32053482978,-0.9810894905390131,15571506.589305772,15820243.126081826
HSPA1A,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
SLCO2B1,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
SLC22A5,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
GNAI1,-99.97244258789546,-0.9842836445462994,15571506.589305772,15820243.126081826
GNAI2,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
GNAI3,-99.98048806386753,-0.9842836450548551,15571506.589305772,15820243.126081826
ARRB1,-99.99990839466592,-0.9842836462824173,15571506.589305772,15820243.126081826
GRK2,35372524.374380834,1.2516253781479745,15571506.589305772,15820243.126081826
AKT1,-91.15859631651134,-0.9842830874217215,15571506.589305772,15820243.126081826
