Node,Protein Protein Only Perturbation Top 1 Degree Centrality,Protein Protein Only Perturbation Top 3 Degree Centrality,Protein Protein Only Perturbation Top 1 Betweenness Centrality,Protein Protein Only Perturbation Top 3 Betweenness Centrality
ABHD12,0.13615281946362537,0.5047857627688916,0.5043851285847041,0.6837581577307448
ABHD6,-0.33426610354188335,0.075260289235186,0.5043851285847034,0.6837581577307438
AKT1,0.7365984729061249,0.5382391890729593,-0.23709146848151363,-1.8778564861518359
ALOX15,0.8417812039718875,1.1490739730694493,0.5043851285847039,0.6837581577307442
ALOX5,0.8417812039718875,1.1490739730694495,0.5043851285847039,-0.7341097263371046
ARRB1,0.48896701171775653,-1.428078868132782,-3.0701098432462075,-2.3410266616139994
CNR1,0.315010014148011,,,
CNR2,0.2871514861073682,-1.2239216986136754,-1.9779030462978737,-1.416786855703106
DAGLA,-2.686360718569424,-2.07236707843334,0.5043851285847039,0.6837581577307442
DAGLB,-0.04025427666344032,0.3437137101937519,0.5043851285847039,0.6837581577307442
FABP3,-0.9222897572987682,-0.4616465526819454,0.5043851285847039,0.6837581577307442
FABP5,-0.9222897572987682,-0.4616465526819454,0.5043851285847039,0.6837581577307442
FABP7,-2.686360718569424,-2.07236707843334,0.5043851285847039,0.6837581577307442
GNAI1,0.59032372045743,-0.19319313172338,-1.0611488908014677,-0.641017390514468
GNAI3,0.5076454101312112,-0.8482194788622799,-2.2658484745842524,-1.6604500772614321
GPR18,-0.9222897572987682,-0.4616465526819454,0.5043851285847039,0.6837581577307442
GPR55,0.64646326714,,0.11664648979820333,-0.30685887060465955
MGLL,-0.9222897572987682,-0.4616465526819454,0.5043851285847039,0.6837581577307442
NAAA,-0.5956099496560546,-0.16336497383909462,0.5043851285847034,0.6837581577307441
NAPEPLD,0.4377318928898247,0.32374610037038765,-0.08644048659395917,0.18379372478120007
PLCB1,0.8417812039718875,1.1490739730694493,0.5043851285847039,0.6837581577307442
PLCE1,0.8417812039718877,1.1490739730694497,0.5043851285847041,0.6837581577307444
PPARA,0.6270372715949862,0.9529976999183403,0.5043851285847034,
PPARD,0.44976543480063036,0.7911360784580279,0.5043851285847034,0.6837581577307441
PTGS2,0.8417812039718873,1.149073973069449,0.5043851285847034,
TRPV1,0.6002579749788958,0.572849823400883,0.00734853426710725,-0.7783018648250136
